100
2 0
1 1
+ 51 1
x 30 20
+ 4 11
+ 7 43
+ 78 3
+ 65 1
x 31 43
x 47 51
+ 15 10
x 67 58
+ 23 21
+ 19 27
+ 9 66
+ 12 43
+ 34 20
+ 41 53
x 27 29
+ 5 15
x 63 97
+ 29 13
+ 44 46
x 3 100
+ 9 48
x 15 39
+ 14 4
x 91 11
+ 25 36
x 79 82
+ 6 5
+ 3 7
+ 26 52
+ 3 18
+ 15 43
x 7 35
+ 15 4
+ 20 67
+ 4 5
+ 23 4
x 78 2
+ 73 11
x 41 90
+ 3 93
100 48
+ 83 4
+ 31 50
+ 21 17
+ 3 10
+ 73 13
+ 83 18
+ 29 7
+ 5 43
+ 16 1
+ 12 37
+ 3 6
+ 10 74
+ 33 25
+ 30 1
+ 29 47
+ 32 11
+ 7 13
+ 6 55
+ 51 34
+ 17 78
+ 40 7
+ 3 19
+ 2 12
+ 11 1
+ 27 14
+ 30 25
+ 1 66
+ 69 5
+ 28 37
+ 64 27
+ 28 41
+ 2 98
+ 9 43
+ 53 27
+ 3 29
+ 1 6
+ 1 5
+ 2 3
+ 24 35
+ 46 8
+ 7 4
+ 34 64
+ 1 1
+ 43 34
+ 37 36
+ 60 6
+ 4 6
+ 36 1
39 35
x 29 38
+ 21 12
o 15 26
x 14 10
+ 23 20
x 31 2
o 5 29
x 19 19
o 35 24
+ 33 4
+ 33 31
+ 3 37
x 30 30
o 7 6
o 24 27
o 1 9
+ 6 32
+ 38 34
+ 25 1
+ 21 2
o 28 32
+ 7 21
+ 31 18
+ 1 24
+ 28 7
+ 18 18
o 36 31
x 3 23
+ 25 5
o 34 22
+ 17 2
+ 12 4
o 21 36
+ 28 11
o 39 13
65 122
+ 1 20
+ 55 36
x 18 31
o 51 34
x 40 18
x 37 24
+ 5 44
o 12 35
+ 23 33
o 64 33
+ 60 57
+ 28 65
+ 31 5
x 8 9
x 41 2
+ 23 11
o 11 6
+ 47 58
+ 56 3
o 46 17
o 15 36
+ 63 57
+ 39 2
+ 62 3
+ 63 24
x 5 30
o 65 16
x 25 32
x 26 53
+ 60 40
o 29 21
o 17 44
o 30 28
+ 65 41
x 35 38
o 4 58
+ 33 42
o 2 42
+ 5 48
+ 10 25
+ 35 63
+ 57 3
o 23 5
+ 57 27
o 43 3
+ 9 61
x 39 57
o 49 63
+ 54 56
+ 19 5
o 9 60
o 36 4
x 62 50
+ 64 31
+ 52 14
o 38 64
+ 26 64
o 61 48
+ 52 55
+ 41 53
o 52 59
+ 7 32
x 48 29
x 34 19
+ 19 63
o 16 62
+ 28 29
o 7 20
+ 14 4
+ 30 59
+ 6 6
o 50 27
+ 32 54
x 59 55
x 42 46
o 63 13
+ 26 57
x 10 49
x 27 45
x 24 41
+ 44 64
o 55 61
+ 26 42
x 19 52
+ 64 49
+ 22 11
+ 24 28
o 3 11
o 13 54
x 33 12
o 6 65
+ 3 61
+ 35 7
x 57 43
x 28 23
o 58 22
x 21 7
+ 57 15
+ 17 8
x 14 25
+ 34 9
o 1 37
+ 48 26
o 60 39
o 53 26
+ 9 14
+ 43 2
x 20 14
+ 12 42
o 45 10
+ 37 55
+ 8 7
o 32 56
x 31 47
+ 42 59
x 44 8
o 56 40
+ 13 9
+ 58 15
o 47 1
o 22 15
x 54 51
2 1
+ 1 2
100 296
+ 1 29
x 10 71
+ 100 48
+ 100 15
x 19 41
+ 100 6
x 57 36
+ 100 96
x 27 35
x 44 89
x 2 84
+ 1 94
+ 100 4
x 11 9
+ 100 74
+ 1 28
+ 100 59
+ 100 26
+ 100 17
+ 100 67
+ 1 77
+ 100 95
+ 1 26
+ 1 7
+ 100 77
+ 1 41
x 23 67
+ 1 79
+ 1 2
+ 100 31
x 69 58
+ 100 12
+ 1 4
x 20 24
+ 1 59
x 81 77
+ 100 55
x 74 53
+ 100 7
+ 1 30
+ 100 62
+ 100 54
+ 1 96
x 65 74
+ 1 83
+ 1 24
+ 1 51
+ 1 6
+ 1 97
+ 100 53
x 18 26
+ 100 3
+ 1 36
+ 100 69
+ 100 98
+ 1 67
+ 100 16
x 33 18
x 96 42
x 84 45
x 14 28
+ 1 70
x 49 73
+ 1 85
+ 100 38
x 6 98
+ 100 91
x 72 29
x 62 27
+ 1 42
+ 100 49
x 42 30
+ 1 54
x 59 91
x 36 96
x 70 69
x 21 76
+ 1 31
+ 1 32
+ 100 37
+ 1 75
+ 1 56
+ 1 93
x 5 49
+ 1 39
x 77 100
+ 1 15
+ 100 93
+ 1 80
x 35 2
+ 100 22
x 88 59
+ 100 21
+ 100 88
+ 100 35
x 73 99
+ 100 51
x 52 37
x 93 75
+ 100 20
x 46 62
x 8 92
x 45 3
x 26 14
+ 1 12
+ 1 69
+ 100 64
+ 100 70
+ 100 19
+ 1 88
x 41 8
+ 100 10
+ 100 66
x 61 66
x 75 88
+ 100 11
+ 1 13
+ 1 20
+ 1 68
+ 100 80
x 89 22
+ 100 87
+ 1 19
x 97 65
+ 100 60
+ 100 27
+ 1 22
+ 100 76
x 32 7
x 43 19
+ 1 72
x 34 34
+ 1 74
+ 100 73
x 48 38
+ 1 82
x 28 50
+ 100 32
+ 100 56
x 37 55
x 40 15
x 4 23
+ 100 68
+ 100 58
+ 100 23
+ 100 71
+ 100 45
+ 1 8
x 47 5
x 64 51
x 85 43
+ 100 13
+ 1 61
+ 1 90
+ 1 66
+ 1 95
+ 1 92
+ 1 71
x 15 72
+ 100 92
x 80 70
+ 1 5
x 68 82
+ 100 14
x 38 44
+ 1 73
+ 100 39
x 92 12
+ 100 90
+ 100 81
+ 100 61
+ 1 33
x 55 54
+ 100 40
+ 100 63
x 94 47
+ 1 48
+ 1 44
x 63 40
+ 100 28
x 67 39
x 31 64
x 99 94
o 100 33
+ 100 18
+ 100 85
+ 1 18
+ 100 75
+ 100 57
+ 1 62
+ 1 11
x 56 46
x 22 20
+ 1 21
+ 1 76
x 7 60
+ 1 23
+ 100 94
x 86 13
+ 1 55
x 9 6
x 51 61
x 76 79
+ 100 9
+ 100 30
x 17 25
+ 100 8
+ 100 72
+ 1 49
+ 100 86
+ 100 34
x 3 16
+ 1 14
+ 100 78
x 98 52
+ 100 97
+ 100 82
+ 100 2
x 58 85
+ 1 89
x 13 90
+ 100 29
+ 1 46
+ 100 89
+ 1 81
+ 1 57
+ 1 58
x 24 87
x 87 83
+ 1 17
+ 1 53
x 78 11
x 60 4
+ 1 10
+ 1 64
+ 1 9
+ 1 27
x 16 81
+ 1 65
+ 1 100
+ 1 45
+ 100 44
+ 100 47
+ 1 25
+ 1 34
x 54 57
+ 1 3
+ 100 50
x 53 80
+ 1 78
x 29 93
+ 1 40
+ 100 36
+ 1 60
+ 1 86
+ 100 43
x 95 31
+ 1 37
x 83 78
+ 100 25
+ 100 52
+ 1 91
+ 1 50
+ 1 98
x 30 97
+ 100 99
+ 100 84
+ 1 47
x 90 17
+ 1 43
x 25 56
x 91 48
x 79 68
+ 100 24
+ 100 5
+ 1 38
x 71 21
+ 1 87
+ 1 99
+ 100 79
+ 100 42
+ 100 65
+ 1 35
x 50 63
o 1 1
+ 100 41
+ 1 16
x 12 32
+ 100 83
+ 100 46
x 82 86
+ 1 84
x 39 10
+ 1 52
+ 1 63
x 66 95
100 18
x 10 43
x 86 93
x 47 47
x 13 97
x 52 99
x 49 19
x 94 55
x 92 14
x 69 67
x 48 49
x 33 33
x 70 66
x 62 31
x 15 81
x 68 34
x 6 51
x 63 88
x 20 46
100 96
+ 9 5
+ 26 3
+ 24 53
+ 87 10
+ 5 30
+ 26 36
+ 12 4
+ 9 48
+ 49 27
+ 3 10
+ 1 99
+ 35 5
+ 23 66
+ 12 56
+ 17 7
+ 2 10
+ 7 37
+ 37 36
+ 74 4
+ 6 1
+ 28 21
+ 14 87
+ 6 15
+ 21 9
+ 10 59
+ 65 22
+ 5 6
+ 6 77
+ 48 16
+ 36 1
+ 37 1
+ 45 11
+ 6 28
+ 21 2
+ 76 8
+ 10 42
+ 20 54
+ 9 6
+ 7 12
+ 34 47
+ 44 4
+ 2 8
+ 11 79
+ 73 15
+ 9 56
+ 46 48
+ 94 2
+ 20 31
+ 83 9
+ 78 2
+ 1 17
+ 29 12
+ 47 38
+ 37 16
+ 2 59
+ 1 27
+ 35 11
+ 22 4
+ 61 11
+ 13 58
+ 14 3
+ 38 5
+ 52 7
+ 48 51
+ 1 1
+ 29 13
+ 19 31
+ 4 27
+ 63 4
+ 1 19
+ 2 6
+ 3 30
+ 4 21
+ 59 7
+ 73 9
+ 25 11
+ 5 42
+ 4 91
+ 43 12
+ 3 72
+ 10 50
+ 36 9
+ 4 2
+ 26 6
+ 78 13
+ 76 3
+ 38 1
+ 1 21
+ 46 40
+ 5 58
+ 6 21
+ 20 34
+ 21 72
+ 16 54
+ 8 90
+ 17 41
7 13
x 5 6
x 1 1
+ 4 1
+ 4 7
o 6 7
o 2 4
+ 2 7
o 7 5
+ 7 7
x 3 2
+ 6 2
o 4 3
+ 3 7
2 3
x 2 1
+ 1 1
o 1 2
100 79
+ 8 4
+ 17 4
+ 58 34
+ 8 45
+ 9 21
+ 14 63
+ 51 40
+ 7 16
+ 45 26
+ 10 18
+ 33 50
+ 20 5
+ 7 35
+ 4 60
+ 15 69
+ 2 63
+ 14 59
+ 32 16
+ 60 3
+ 2 4
+ 55 17
+ 28 5
+ 12 55
+ 12 63
+ 24 63
+ 68 10
+ 8 2
+ 28 1
+ 8 12
+ 3 21
+ 43 50
+ 16 11
+ 39 17
+ 1 12
+ 49 10
+ 79 3
+ 76 22
+ 95 1
+ 21 76
+ 36 24
+ 3 71
+ 5 2
+ 5 21
+ 1 1
+ 12 2
+ 21 1
+ 1 16
+ 63 26
+ 29 12
+ 70 25
+ 41 27
+ 2 83
+ 9 30
+ 40 5
+ 50 20
+ 25 69
+ 3 55
+ 7 8
+ 3 1
+ 17 44
+ 12 45
+ 14 33
+ 14 55
+ 5 30
+ 37 63
+ 4 14
+ 1 4
+ 6 37
+ 20 79
+ 10 1
+ 5 74
+ 75 1
+ 8 1
+ 28 27
+ 30 22
+ 8 38
+ 7 27
+ 12 26
+ 23 58
100 97
+ 38 6
+ 10 5
+ 16 2
+ 23 1
+ 15 50
+ 1 3
+ 70 14
+ 38 55
+ 70 16
+ 15 35
+ 19 22
+ 2 29
+ 9 16
+ 4 9
+ 41 17
+ 4 22
+ 46 7
+ 22 35
+ 43 8
+ 13 3
+ 1 1
+ 7 15
+ 13 4
+ 7 30
+ 28 39
+ 7 23
+ 7 33
+ 36 3
+ 70 3
+ 13 41
+ 19 4
+ 80 5
+ 1 45
+ 5 74
+ 45 55
+ 24 4
+ 17 65
+ 11 9
+ 9 2
+ 28 59
+ 40 3
+ 5 4
+ 16 65
+ 46 25
+ 21 51
+ 6 21
+ 4 1
+ 36 6
+ 23 68
+ 7 1
+ 21 55
+ 23 12
+ 9 59
+ 7 31
+ 68 30
+ 40 9
+ 49 13
+ 84 13
+ 41 18
+ 29 35
+ 28 42
+ 10 56
+ 10 2
+ 43 47
+ 71 24
+ 59 18
+ 29 4
+ 53 36
+ 3 58
+ 69 5
+ 21 8
+ 6 69
+ 8 80
+ 1 33
+ 24 8
+ 46 6
+ 5 1
+ 20 76
+ 13 65
+ 9 60
+ 37 18
+ 6 42
+ 1 93
+ 37 8
+ 6 15
+ 35 1
+ 22 34
+ 10 70
+ 99 2
+ 13 1
+ 13 34
+ 39 21
+ 2 81
+ 27 65
+ 1 2
+ 23 76
+ 2 61
27 51
x 15 11
+ 14 15
x 3 15
x 21 18
o 11 19
+ 10 7
o 24 14
+ 7 27
x 27 10
+ 25 11
+ 21 1
o 12 25
+ 25 27
+ 13 2
x 20 23
+ 15 8
x 14 8
+ 2 2
+ 5 11
+ 16 25
x 1 22
o 8 20
x 6 16
x 9 24
+ 24 9
o 5 3
+ 14 6
o 26 9
+ 23 27
x 13 4
o 23 17
+ 19 7
x 10 12
+ 12 27
o 25 7
x 19 26
+ 11 10
+ 10 17
+ 2 12
x 7 6
o 2 5
+ 25 21
+ 27 18
o 4 21
o 18 13
+ 4 9
+ 16 3
o 17 1
x 22 2
o 16 27
+ 4 20
100 100
x 72 89
x 35 91
x 87 59
x 39 84
x 7 90
x 3 1
x 58 17
x 14 31
x 83 76
x 22 37
x 70 46
x 57 33
x 78 22
x 47 4
x 96 2
x 55 44
x 88 32
x 74 8
x 44 27
x 17 20
x 36 28
x 32 40
x 41 58
x 52 26
x 50 63
x 54 67
x 60 7
x 12 75
x 93 56
x 62 65
x 92 68
x 75 50
x 59 38
x 85 41
x 16 35
x 6 94
+ 6 3
x 10 5
+ 6 1
x 18 45
x 38 9
x 25 78
+ 1 1
x 69 98
x 80 24
x 89 51
x 94 74
x 8 36
x 21 86
x 30 11
x 64 99
x 90 3
x 29 77
x 1 25
x 2 81
x 71 82
x 86 48
x 24 97
x 76 53
x 68 85
x 33 16
x 45 39
x 4 96
x 40 18
x 99 71
x 95 64
x 43 21
x 56 60
x 20 6
x 66 42
x 5 70
+ 8 6
x 91 15
x 79 57
x 13 92
x 46 62
x 49 72
x 15 61
x 42 19
x 11 80
x 67 73
x 65 87
x 97 79
x 9 34
x 84 43
x 31 54
x 77 66
x 63 30
+ 31 10
x 23 12
x 61 23
+ 25 70
x 37 47
x 27 93
x 19 49
x 98 55
x 73 83
x 53 52
x 81 14
x 28 69
100 86
x 91 91
x 64 95
x 9 9
x 67 51
x 24 65
x 28 45
x 34 25
x 94 89
x 98 23
x 59 61
x 97 19
x 58 66
x 76 78
x 17 76
+ 1 1
x 29 72
x 4 98
x 69 16
x 84 96
x 74 82
x 56 52
x 96 44
x 13 87
x 99 92
x 14 32
+ 20 58
x 27 18
x 25 90
x 55 83
x 54 85
x 78 97
x 77 68
x 65 56
x 52 26
x 49 47
x 22 20
x 72 73
x 71 70
x 21 60
+ 1 11
+ 12 68
x 62 49
x 2 71
x 1 22
x 66 94
x 32 34
+ 17 9
x 61 93
x 73 69
x 68 3
x 75 79
x 47 35
x 5 67
x 40 59
x 53 64
x 50 58
x 43 6
+ 31 26
x 87 31
x 46 24
x 7 43
x 45 57
x 90 8
x 92 17
x 85 27
x 36 81
x 23 75
+ 20 26
x 81 38
x 41 10
x 18 100
x 19 99
+ 22 54
x 33 12
x 79 48
x 20 41
x 37 63
x 26 36
x 12 21
x 6 37
x 100 80
x 82 77
x 95 84
x 31 39
x 35 88
x 89 55
100 0
100 36
x 55 78
+ 7 32
x 81 36
+ 1 23
+ 70 28
+ 29 13
+ 37 55
x 19 44
+ 7 1
+ 7 52
x 14 5
+ 95 5
x 44 79
x 79 94
x 21 70
x 60 68
+ 63 8
x 38 64
x 40 3
x 29 63
x 90 2
+ 1 1
+ 30 6
x 95 29
+ 1 18
+ 1 67
+ 20 79
+ 23 18
x 33 12
+ 14 76
x 41 47
x 35 66
x 51 58
+ 46 45
+ 7 31
+ 12 18
100 50
+ 16 35
+ 12 29
+ 18 40
x 60 77
x 66 65
x 97 22
x 38 44
x 36 36
+ 31 11
x 52 48
x 30 82
x 90 15
x 50 12
x 26 19
x 10 46
x 37 47
x 89 84
x 53 73
x 74 53
x 19 8
x 71 70
x 93 60
x 12 58
x 57 55
x 67 10
x 24 52
x 8 3
x 65 17
+ 52 7
+ 14 38
x 1 90
x 79 51
x 6 75
x 91 2
x 48 39
x 99 42
x 34 21
x 64 45
x 56 25
x 81 9
x 2 81
x 31 40
x 11 7
x 20 26
+ 1 1
x 18 69
x 27 80
+ 37 9
+ 68 7
x 42 94
39 38
x 36 21
+ 4 9
+ 39 13
o 4 36
+ 37 8
x 32 7
o 1 24
+ 4 28
+ 2 12
+ 22 6
o 27 10
+ 2 32
+ 19 25
x 10 34
x 9 16
x 24 30
+ 33 18
+ 11 1
+ 3 1
+ 17 31
+ 14 5
o 19 11
+ 28 10
+ 18 18
o 29 4
x 17 32
+ 23 34
x 6 22
x 18 3
x 14 15
+ 4 16
x 5 8
+ 28 1
x 7 17
o 15 2
x 13 33
o 11 5
+ 4 35
69 66
+ 46 69
+ 13 56
+ 64 42
+ 31 18
+ 11 17
+ 11 5
x 49 18
+ 54 35
+ 34 58
o 41 50
+ 61 44
o 65 60
+ 6 16
o 67 4
+ 37 1
+ 47 16
x 40 38
o 58 46
+ 10 37
+ 67 56
+ 37 16
x 44 69
+ 2 43
+ 58 24
o 23 13
+ 5 52
+ 32 58
+ 57 17
x 18 55
+ 56 28
o 38 39
x 68 66
+ 16 28
+ 50 4
o 12 56
x 64 11
+ 1 49
x 14 44
o 52 27
o 36 49
x 62 33
x 46 68
o 8 10
o 51 19
x 43 51
x 32 14
+ 15 22
+ 61 38
x 30 31
+ 4 69
+ 61 58
+ 20 13
x 42 61
+ 68 19
x 16 23
x 9 21
+ 53 68
+ 53 33
+ 69 9
x 22 3
o 63 1
x 7 34
o 11 29
o 13 42
x 60 28
+ 36 66
97 94
o 58 68
x 44 89
+ 14 94
o 78 43
o 62 96
x 41 25
x 20 45
+ 42 96
+ 14 55
+ 20 97
x 50 14
+ 85 35
+ 22 93
+ 96 20
+ 24 12
+ 79 4
o 69 12
o 74 81
+ 94 31
o 81 56
+ 75 24
+ 84 81
x 65 1
x 17 95
+ 44 12
o 70 5
x 55 55
x 38 30
o 79 6
+ 59 30
o 16 97
+ 45 7
o 51 42
+ 3 54
o 87 65
+ 63 78
+ 62 71
o 60 36
+ 28 72
+ 58 95
+ 4 37
+ 91 37
o 45 61
+ 29 2
+ 87 5
x 28 92
+ 10 68
o 14 26
+ 66 2
x 66 20
o 5 50
x 97 59
x 39 76
+ 74 61
x 86 93
+ 87 80
o 23 71
x 95 70
o 1 63
+ 30 79
+ 81 64
+ 13 85
o 15 90
+ 65 42
+ 64 85
x 47 40
+ 93 38
x 27 73
o 71 75
+ 6 36
o 88 46
o 26 18
+ 74 2
x 77 88
+ 56 95
+ 88 42
x 43 27
+ 36 15
+ 80 64
x 11 23
o 13 19
o 53 8
+ 67 87
o 6 29
+ 45 2
o 75 44
x 91 51
x 84 47
+ 75 93
+ 9 14
o 93 2
o 8 58
o 34 4
o 40 64
100 100
x 15 68
x 9 89
x 14 38
x 41 8
x 99 99
x 62 82
x 52 53
x 61 48
x 4 80
+ 33 34
x 91 2
x 38 87
x 19 47
x 1 27
+ 83 6
x 78 86
x 46 29
x 30 28
x 21 88
x 3 1
x 45 91
x 76 79
x 74 95
x 86 64
+ 60 17
x 55 71
x 13 45
+ 19 15
x 68 22
x 84 61
x 83 31
x 81 18
x 31 55
x 73 10
x 25 52
x 67 34
x 10 3
+ 35 15
x 58 77
x 32 96
x 34 23
x 94 40
x 39 7
x 23 9
x 7 39
+ 38 2
x 69 97
x 72 63
x 89 70
+ 46 9
x 40 93
x 71 33
x 8 46
x 29 83
x 85 30
+ 6 3
x 64 78
x 24 73
x 22 6
x 77 19
x 90 4
x 56 21
+ 1 1
x 63 35
x 2 25
x 48 16
x 51 36
+ 17 74
x 80 90
x 44 92
x 35 60
x 6 41
x 27 17
x 82 81
x 18 20
+ 74 25
x 12 67
x 49 72
x 65 58
x 50 66
x 57 75
x 54 32
x 70 43
x 66 15
x 26 13
x 92 59
+ 56 39
x 16 37
x 97 56
x 47 24
x 79 74
x 33 44
x 88 57
x 93 94
x 96 50
x 59 51
+ 7 5
x 100 54
x 87 85
x 60 14
48 46
x 21 14
o 30 23
x 11 25
+ 8 29
+ 42 45
o 31 29
+ 33 39
+ 39 18
o 6 41
x 7 31
x 9 11
+ 35 8
o 22 22
+ 48 16
o 35 42
+ 38 10
+ 5 30
o 12 17
x 26 33
o 17 45
+ 19 23
x 2 35
+ 2 12
+ 48 19
o 18 6
+ 45 35
x 29 15
+ 6 30
x 16 5
o 1 24
o 33 18
o 3 12
o 42 34
+ 18 37
+ 1 12
+ 36 10
x 5 21
+ 3 17
x 34 1
+ 4 6
x 40 44
o 24 39
+ 37 15
+ 46 22
o 44 26
o 41 8
9 8
+ 1 5
o 7 3
+ 8 6
x 4 6
x 9 5
o 6 9
o 8 8
x 1 2
3 0
86 84
+ 25 8
+ 19 48
o 8 8
+ 78 80
o 30 75
+ 10 3
o 71 67
o 10 65
+ 54 77
+ 2 30
o 62 26
+ 17 4
+ 8 68
+ 86 12
+ 84 62
+ 52 38
+ 2 51
x 38 5
x 49 1
+ 22 16
o 80 53
o 27 33
+ 26 3
o 37 18
o 16 24
o 83 12
x 43 62
o 68 43
+ 1 33
+ 77 38
+ 39 82
+ 56 16
x 26 41
o 73 68
x 36 52
+ 70 15
x 50 21
+ 7 20
+ 51 10
o 19 17
+ 25 44
+ 78 81
x 20 7
x 23 50
x 22 22
x 6 69
o 66 38
+ 83 67
+ 16 86
o 13 37
x 9 82
o 5 59
+ 7 21
+ 17 39
x 53 9
o 79 44
x 63 78
+ 74 56
+ 18 6
+ 9 77
x 64 84
+ 2 49
+ 52 5
o 82 10
+ 80 11
+ 1 51
+ 13 2
+ 7 51
o 3 23
+ 80 21
x 32 86
+ 86 48
x 78 76
x 84 71
x 14 45
+ 22 1
o 40 3
x 1 46
x 31 83
x 2 64
x 54 34
o 81 35
o 67 36
+ 62 9
46 42
+ 23 10
o 34 3
+ 1 2
+ 29 12
x 5 9
o 40 33
+ 13 16
+ 7 28
x 13 42
o 46 17
x 17 39
+ 45 19
+ 40 46
o 1 30
o 16 31
o 45 44
x 9 7
x 18 20
o 4 14
x 23 12
x 19 38
+ 21 2
x 3 26
x 26 34
+ 27 9
x 36 24
o 32 16
o 43 41
o 12 32
o 6 10
+ 43 19
o 10 28
+ 41 16
x 22 1
x 24 36
x 28 45
x 35 6
+ 17 2
o 20 8
+ 9 31
+ 21 18
o 41 18
100 97
+ 24 20
+ 14 48
+ 5 73
+ 50 8
+ 35 58
+ 26 39
+ 2 13
+ 23 41
+ 27 5
+ 8 66
+ 37 18
+ 10 36
+ 6 4
+ 24 15
+ 11 3
+ 88 6
+ 87 11
+ 2 80
+ 8 23
+ 65 24
+ 29 1
+ 64 2
+ 4 14
+ 57 2
+ 22 11
+ 13 40
+ 1 1
+ 10 59
+ 15 71
+ 17 5
+ 56 20
+ 63 14
+ 15 2
+ 1 2
+ 72 3
+ 4 91
+ 4 45
+ 30 10
+ 17 12
+ 30 6
+ 52 8
+ 34 33
+ 1 25
+ 47 24
+ 40 3
+ 19 82
+ 14 7
+ 2 5
+ 54 27
+ 11 72
+ 7 40
+ 14 74
+ 26 9
+ 17 70
+ 4 24
+ 13 10
+ 3 34
+ 78 1
+ 44 1
+ 5 67
+ 26 1
+ 13 29
+ 21 40
+ 59 26
+ 17 2
+ 11 23
+ 3 88
+ 44 26
+ 1 3
+ 49 35
+ 3 17
+ 10 42
+ 21 29
+ 6 86
+ 3 48
+ 10 87
+ 3 54
+ 40 8
+ 1 7
+ 4 9
+ 39 61
+ 8 17
+ 13 50
+ 87 3
+ 5 75
+ 1 8
+ 6 10
+ 9 3
+ 10 31
+ 60 13
+ 4 34
+ 33 23
+ 20 4
+ 78 21
+ 61 7
+ 63 33
+ 8 46
81 78
+ 6 35
+ 70 21
+ 1 69
x 38 49
+ 32 26
o 39 6
o 41 27
+ 79 17
+ 35 78
o 25 36
o 5 30
+ 5 41
o 67 37
+ 20 5
+ 74 3
+ 31 68
+ 43 74
+ 4 70
+ 15 36
x 49 18
+ 80 39
+ 59 68
+ 18 38
o 47 77
x 19 59
x 33 33
+ 41 6
+ 13 35
x 66 78
o 60 48
x 73 16
+ 40 67
o 4 69
o 29 13
+ 63 12
x 20 9
o 35 50
+ 24 81
x 18 81
+ 24 42
+ 80 59
o 36 8
x 15 71
+ 79 79
o 46 56
x 26 45
+ 54 67
+ 17 55
+ 14 70
+ 29 7
x 9 31
+ 38 2
o 10 24
+ 3 77
x 40 40
+ 23 16
+ 50 66
o 3 54
x 68 11
+ 78 51
o 72 26
+ 69 32
o 34 80
o 59 41
o 63 60
+ 27 28
x 50 4
+ 2 9
+ 14 62
x 79 55
+ 11 81
+ 2 19
x 53 15
+ 63 75
+ 73 33
+ 55 38
+ 79 10
+ 6 9
20 19
x 13 14
x 3 3
x 1 1
x 2 7
o 8 18
o 7 5
+ 12 2
+ 2 13
+ 16 7
+ 7 15
+ 16 2
+ 11 18
o 6 2
+ 15 10
+ 19 11
o 18 19
+ 17 17
o 12 16
x 11 15
87 85
+ 4 11
o 4 30
+ 25 47
+ 7 34
+ 6 59
+ 58 23
+ 38 10
x 37 62
x 48 34
x 74 18
x 76 31
x 57 1
o 81 28
o 11 57
+ 63 87
x 58 9
+ 85 5
+ 28 17
+ 81 84
+ 22 35
+ 47 29
+ 82 33
x 71 71
x 33 45
+ 24 3
o 29 70
+ 75 86
+ 24 5
+ 76 47
o 45 74
x 80 42
+ 28 83
x 17 16
x 23 26
+ 62 2
+ 19 61
o 78 79
+ 35 5
x 86 82
+ 54 62
o 19 75
+ 70 5
+ 18 77
o 75 37
+ 10 82
+ 37 49
o 60 13
x 85 84
o 20 81
o 12 4
